"Facility Name","Facility ID","state","Measure Name","Number of Discharges","Excess Readmission Ratio","Predicted Readmission Rate","Expected Readmission Rate"
SOUTHEAST HEALTH MEDICAL CENTER,10001,AL,READM-30-HF-HRRP,681,1.0597,21.5645,20.3495
MARSHALL MEDICAL CENTERS,10005,AL,READM-30-HF-HRRP,176,0.9935,20.1511,20.2835
NORTH ALABAMA MEDICAL CENTER,10006,AL,READM-30-HF-HRRP,508,0.9666,19.1704,19.8318
MIZELL MEMORIAL HOSPITAL,10007,AL,READM-30-HF-HRRP,35,1.0674,21.0944,19.7621
ST. VINCENT'S EAST,10011,AL,READM-30-HF-HRRP,295,1.0439,20.3295,19.4740
DEKALB REGIONAL MEDICAL CENTER,10012,AL,READM-30-HF-HRRP,84,1.0505,19.7116,18.7646
SHELBY BAPTIST MEDICAL CENTER,10016,AL,READM-30-HF-HRRP,229,1.0005,20.5099,20.5005
HELEN KELLER HOSPITAL,10019,AL,READM-30-HF-HRRP,254,0.9294,17.7522,19.1001
DALE MEDICAL CENTER,10021,AL,READM-30-HF-HRRP,34,1.0522,21.5293,20.4608
BAPTIST MEDICAL CENTER SOUTH,10023,AL,READM-30-HF-HRRP,305,1.0380,21.0958,20.3240
JACKSON HOSPITAL & CLINIC INC,10024,AL,READM-30-HF-HRRP,325,1.0036,19.3075,19.2384
THE EAST ALABAMA HEALTHCARE AUTHORITY,10029,AL,READM-30-HF-HRRP,179,1.0648,19.9011,18.6901
UNIVERSITY OF ALABAMA HOSPITAL,10033,AL,READM-30-HF-HRRP,675,0.9451,18.8084,19.9019
CULLMAN REGIONAL MEDICAL CENTER,10035,AL,READM-30-HF-HRRP,367,1.0180,18.7366,18.4048
ANDALUSIA HEALTH,10036,AL,READM-30-HF-HRRP,159,1.0267,22.0685,21.4955
HUNTSVILLE HOSPITAL,10039,AL,READM-30-HF-HRRP,1270,0.9752,19.1150,19.6017
GADSDEN REGIONAL MEDICAL CENTER,10040,AL,READM-30-HF-HRRP,235,0.9818,21.4155,21.8117
RIVERVIEW REGIONAL MEDICAL CENTER,10046,AL,READM-30-HF-HRRP,284,1.0925,24.1014,22.0606
MEDICAL CENTER ENTERPRISE,10049,AL,READM-30-HF-HRRP,102,1.0285,18.6980,18.1807
FLOWERS HOSPITAL,10055,AL,READM-30-HF-HRRP,325,0.9641,18.3209,19.0039
ST VINCENT'S BIRMINGHAM,10056,AL,READM-30-HF-HRRP,439,0.9489,18.6041,19.6050
RUSSELL MEDICAL CENTER,10065,AL,READM-30-HF-HRRP,94,0.9604,18.9587,19.7400
NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,10078,AL,READM-30-HF-HRRP,311,1.0350,20.7547,20.0534
ATHENS LIMESTONE HOSPITAL,10079,AL,READM-30-HF-HRRP,151,0.9989,19.2540,19.2744
SOUTH BALDWIN REGIONAL MEDICAL CENTER,10083,AL,READM-30-HF-HRRP,277,1.0014,19.4598,19.4330
DECATUR MORGAN HOSPITAL - DECATUR CAMPUS,10085,AL,READM-30-HF-HRRP,399,0.9652,18.6643,19.3369
WALKER BAPTIST MEDICAL CENTER,10089,AL,READM-30-HF-HRRP,154,1.0249,19.0211,18.5589
"USA HEALTH HCA PROVIDENCE HOSPITAL, LLC",10090,AL,READM-30-HF-HRRP,341,0.9687,18.5410,19.1392
DCH REGIONAL MEDICAL CENTER,10092,AL,READM-30-HF-HRRP,681,0.9813,18.5476,18.9006
THOMAS HOSPITAL,10100,AL,READM-30-HF-HRRP,334,1.0359,19.9162,19.2259
CITIZENS BAPTIST MEDICAL CENTER,10101,AL,READM-30-HF-HRRP,50,1.0714,20.3155,18.9613
PRINCETON BAPTIST MEDICAL CENTER,10103,AL,READM-30-HF-HRRP,218,0.9504,19.0640,20.0595
GRANDVIEW MEDICAL CENTER,10104,AL,READM-30-HF-HRRP,598,1.0208,20.6583,20.2372
PRATTVILLE BAPTIST HOSPITAL,10108,AL,READM-30-HF-HRRP,157,1.0382,19.9833,19.2489
WHITFIELD REGIONAL HOSPITAL,10112,AL,READM-30-HF-HRRP,66,0.9820,20.1405,20.5102
MOBILE INFIRMARY MEDICAL CENTER,10113,AL,READM-30-HF-HRRP,392,0.9835,19.9434,20.2785
"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",10114,AL,READM-30-HF-HRRP,98,0.9338,19.2231,20.5857
TROY REGIONAL MEDICAL CENTER,10126,AL,READM-30-HF-HRRP,40,1.0713,18.1344,16.9269
ST VINCENT'S ST CLAIR,10130,AL,READM-30-HF-HRRP,66,0.9977,16.9077,16.9474
CRESTWOOD MEDICAL CENTER,10131,AL,READM-30-HF-HRRP,278,1.0574,20.5165,19.4019
BROOKWOOD BAPTIST MEDICAL CENTER,10139,AL,READM-30-HF-HRRP,142,1.0234,19.9828,19.5259
SPRINGHILL MEDICAL CENTER,10144,AL,READM-30-HF-HRRP,250,0.9707,19.2361,19.8175
EVERGREEN MEDICAL CENTER,10148,AL,READM-30-HF-HRRP,62,1.0356,15.6152,15.0790
BAPTIST MEDICAL CENTER EAST,10149,AL,READM-30-HF-HRRP,261,1.0390,19.6579,18.9199
COOSA VALLEY MEDICAL CENTER,10164,AL,READM-30-HF-HRRP,80,1.0049,17.0856,17.0024
ATMORE COMMUNITY HOSPITAL,10169,AL,READM-30-HF-HRRP,46,1.0820,18.7173,17.2980
PROVIDENCE ALASKA MEDICAL CENTER,20001,AK,READM-30-HF-HRRP,463,0.8824,16.9831,19.2457
MAT-SU REGIONAL MEDICAL CENTER,20006,AK,READM-30-HF-HRRP,233,0.9410,19.0093,20.2012
BARTLETT REGIONAL HOSPITAL,20008,AK,READM-30-HF-HRRP,58,1.0502,18.3333,17.4569
